2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
    1168    1.02      90       8
    1169    0.37      90       8
    1170    0.28      90       8
    1171    0.28      90       8
    1172    1.01      90       8
    1173    0.28      90       8
    1174    0.28      90       8
    1175    0.27      90       8
    1176    0.28      90       8
    1177    0.28      90       8
    1178    0.28      90       8
    1179    0.29      90       8
    1180    0.29      90       8
    1181    0.29      90       8
    1182    0.27      90       8
    1183    0.29      90       8
    1184    0.28      90       8
    1185    0.27      90       8
    1186    0.33      90       8
    1187    0.44      90       8
    1188    0.43      90       8
    1189    0.34      90       8
    1190    0.37      90       8
    1191    0.37      90       8
    1192    0.39      90       8
    1193    0.33      90       8
    1194    0.27      90       8
    1195    0.32      90       8
    1196    0.32      90       8
    1197    0.28      90       8
    1198    0.28      90       8
    1199    0.32      90       8
    1200    0.41      90       8
    1201    0.29      90       8
    1202    0.27      90       8
    1203    0.28      90       8
    1204    0.32      90       8
    1205    0.27      90       8
    1206    0.31      90       8
    1207    0.30      90       8
    1208    0.28      90       8
    1209    0.28      90       8
    1210    0.40      90       8
    1211    0.31      90       8
    1212    0.40      90       8
    1213    0.40      90       8
    1214    0.37      90       8
    1215    0.33      90       8
    1216    0.40      90       8
