2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  501.00 2.6e-06 6.7e-13       8
  502.00 3.4e-06 9.2e-13     8.1
  503.00 4.1e-06 1.2e-12       8
  504.00 2.1e-06 6.3e-13     8.1
  505.00 1.2e-06 3.8e-13       8
  506.00 0.00048    0.14     7.8
  507.00 7.7e-07 3.7e-11       8
  508.00 1.6e-06 5.2e-13     8.1
  509.00 2.7e-06 9.5e-13     8.1
  510.00   4e-06 1.5e-12     8.1
  511.00   5e-06 1.9e-12     8.1
  512.00 2.6e-06   1e-12       8
  513.00 1.9e-06 7.8e-13       8
  514.00 5.6e-07 2.4e-13       8
  515.00   0.028     3.6     4.5
  516.00  0.0018    0.59     8.1
  517.00 3.1e-07 7.9e-09     8.1
  518.00 1.4e-06 1.1e-06     8.1
  519.00 4.4e-07 1.4e-13     8.1
  520.00 5.1e-07 1.7e-13       8
  521.00 9.9e-07 3.4e-13       8
  522.00 1.5e-06 5.5e-13       8
  523.00 2.4e-06   9e-13     8.1
  524.00 3.3e-06 1.3e-12     8.2
  525.00 4.2e-06 1.7e-12     8.2
  526.00 4.9e-06 2.5e-12     8.1
  527.00 5.7e-06 5.4e-12       8
  528.00 2.1e-06 9.8e-13     8.1
  529.00 5.3e-07 2.5e-13       8
  530.00 1.2e-06 6.1e-13     8.1
  531.00   2e-06   1e-12     8.1
  532.00 3.4e-06 1.8e-12     8.1
  533.00   3e-06 1.7e-12     8.2
  534.00 5.1e-06   3e-12     8.1
  535.00 3.5e-07   2e-13       8
  536.00 5.2e-07   3e-13       8
  537.00 1.2e-06 7.1e-13       8
  538.00 2.4e-06 1.5e-12       8
  539.00 1.4e-06 9.2e-13     7.9
  540.00 2.8e-06   2e-12     8.1
  541.00   3e-06 2.2e-12       8
  542.00 4.7e-06 3.5e-12     7.8
  543.00 6.2e-06 4.9e-12     7.9
  544.00 8.7e-06 7.2e-12       8
  545.00 1.1e-05 9.6e-12     7.9
  546.00 7.3e-06 6.6e-12     8.1
  547.00 2.3e-06 2.2e-12       8
  548.00 2.6e-07 2.2e-13       8
  549.00 2.8e-07 2.2e-13     7.9
  550.00   5e-07   4e-13       8
  551.00 1.1e-06 9.5e-13     8.1
  552.00 2.2e-06   2e-12     8.1
  553.00 3.7e-06 3.5e-12     8.1
  554.00 5.5e-06 5.4e-12     8.1
  555.00 7.4e-06 7.6e-12     7.8
  556.00 9.1e-06 1.1e-11     7.9
  557.00 1.1e-05 1.8e-11     7.9
  558.00 1.2e-05 6.7e-11       8
  559.00 1.4e-05 4.5e-10     8.1
  560.00 1.5e-05   2e-11       8
  561.00 1.7e-05 2.3e-11       8
  562.00 1.8e-05 2.6e-11       8
  563.00   2e-05   3e-11     7.9
  564.00 2.1e-05 3.5e-11     8.1
  565.00 2.2e-05 4.2e-11       8
  566.00 2.4e-05 5.3e-11       8
  567.00 2.5e-05 7.3e-11       8
  568.00 9.4e-07 1.7e-12     8.1
  569.00 7.4e-07 1.3e-12     7.9
  570.00 1.6e-06   3e-12     7.9
  571.00 1.5e-06   3e-12     7.9
  572.00 3.5e-06 7.2e-12       8
  573.00   7e-06 1.5e-11       8
  574.00 1.2e-05 2.7e-11       8
  575.00 1.7e-05   4e-11     8.1
  576.00 2.2e-05 5.6e-11     7.8
  577.00 2.6e-05 8.8e-11     7.9
  578.00 2.9e-05 2.5e-10       8
  579.00 3.3e-05 1.5e-09       8
  580.00 3.6e-05 1.1e-10     7.7
  581.00 3.9e-05 1.2e-10     7.9
  582.00 4.1e-05 1.4e-10     7.9
  583.00 4.4e-05 1.7e-10     7.8
  584.00 4.7e-05 2.1e-10     7.8
  585.00   5e-05 2.8e-10       8
  586.00 5.3e-05 4.2e-10     7.9
  587.00 5.5e-05   7e-10     7.9
  588.00 5.8e-05 1.3e-09     7.8
  589.00 6.1e-05 3.3e-10     7.8
  590.00 6.4e-05 3.9e-10     7.9
  591.00 6.8e-05 4.8e-10     7.8
  592.00 7.1e-05 6.3e-10     7.8
  593.00 7.4e-05 4.7e-10     7.8
  594.00 7.8e-05 5.3e-10     7.9
  595.00 8.2e-05   6e-10       8
  596.00 8.5e-05 6.8e-10     7.9
  597.00 8.9e-05 7.9e-10     7.8
  598.00 9.3e-05 9.2e-10     7.8
  599.00 9.8e-05 1.1e-09     7.8
  600.00   1e-04 1.3e-09     7.8
  601.00 0.00011 1.6e-09     7.8
  602.00 0.00011 1.2e-09     7.8
  603.00 0.00012 1.3e-09     7.8
  604.00 0.00012 1.5e-09     7.9
  605.00 0.00013 1.7e-09     7.8
  606.00 0.00013   2e-09     7.8
  607.00 0.00014 2.3e-09     7.8
  608.00 0.00014 2.7e-09     7.9
  609.00 0.00015 3.1e-09     7.8
  610.00 0.00016 3.7e-09     7.8
  611.00 0.00016 4.4e-09     7.9
  612.00 0.00017 5.3e-09     7.9
  613.00 0.00018 6.4e-09     7.9
  614.00 0.00018 7.8e-09     7.8
  615.00 0.00019 3.4e-09     7.9
  616.00   2e-04 3.7e-09     7.8
  617.00 0.00021 4.1e-09     7.6
  618.00 0.00022 4.5e-09     7.6
  619.00 0.00023 4.9e-09     7.7
  620.00 0.00024 5.4e-09     7.7
  621.00 0.00025   6e-09     7.8
  622.00 0.00026 6.6e-09     7.8
  623.00 0.00027 7.3e-09     7.7
  624.00 0.00028   8e-09     7.7
  625.00 0.00029 8.8e-09     7.8
  626.00   3e-04 9.7e-09     7.7
  627.00 0.00031 1.1e-08     7.7
  628.00 0.00032 1.2e-08     7.8
  629.00 0.00034 1.3e-08     7.7
  630.00 0.00035 1.4e-08     7.7
  631.00 0.00037 1.6e-08     7.8
  632.00 0.00038 1.8e-08     7.7
  633.00 0.00039   2e-08     7.7
  634.00 0.00041 1.8e-08     7.7
  635.00 0.00043   2e-08     7.6
  636.00 0.00044 2.2e-08     7.7
  637.00 0.00046 2.1e-08     7.5
  638.00 0.00048 2.3e-08     7.5
  639.00   5e-04 2.6e-08     7.7
  640.00 0.00052 2.9e-08     7.7
  641.00 0.00054 3.2e-08     7.7
  642.00 0.00056 3.6e-08     7.5
  643.00 0.00058 3.4e-08     7.4
  644.00   6e-04 3.8e-08     7.4
  645.00 0.00063 4.3e-08     7.3
  646.00 0.00065 4.8e-08     7.3
  647.00 0.00068 5.4e-08     7.4
  648.00   7e-04 6.1e-08     7.4
  649.00 0.00073 6.9e-08     7.3
  650.00 0.00076 7.7e-08     7.5
  651.00 0.00079 8.7e-08     7.3
  652.00 0.00082 9.8e-08     7.5
  653.00 0.00085 1.1e-07     7.4
  654.00 0.00088 1.2e-07     7.3
  655.00 0.00091 9.9e-08     6.6
